study,time_h,conc_native,conc_unit,conc_mg_L
"Abduljalil 2009, 500 mg po MD",59.8422,1.85052478,µmol/l,1.384106
"Abduljalil 2009, 500 mg po MD",59.9231,1.69300091,µmol/l,1.266286
"Abduljalil 2009, 500 mg po MD",59.998,0.9538365,µmol/l,0.713425
"Abduljalil 2009, 500 mg po MD",59.9991,1.06289589,µmol/l,0.794997
"Abduljalil 2009, 500 mg po MD",60.0196,3.0502038,µmol/l,2.28141
"Abduljalil 2009, 500 mg po MD",60.0823,1.12349761,µmol/l,0.840324
"Abduljalil 2009, 500 mg po MD",60.0833,1.22043848,µmol/l,0.912831
"Abduljalil 2009, 500 mg po MD",60.085,1.390093,µmol/l,1.039725
"Abduljalil 2009, 500 mg po MD",71.968,1.47662282,µmol/l,1.104445
"Abduljalil 2009, 500 mg po MD",71.9783,2.47028542,µmol/l,1.847658
"Abduljalil 2009, 500 mg po MD",72.0544,1.85228956,µmol/l,1.385426
"Abduljalil 2009, 500 mg po MD",72.0659,2.96712351,µmol/l,2.21927
"Abduljalil 2009, 500 mg po MD",72.1295,1.12523437,µmol/l,0.841623
"Abduljalil 2009, 500 mg po MD",72.1304,1.22217667,µmol/l,0.914131
"Abduljalil 2009, 500 mg po MD",72.1346,1.6220603,µmol/l,1.213226
"Abduljalil 2009, 500 mg po MD",72.2915,0.8344328,µmol/l,0.624117
"Abduljalil 2009, 500 mg po MD",72.2935,1.02831745,µmol/l,0.769134
"Abduljalil 2009, 500 mg po MD",72.2972,1.39184439,µmol/l,1.041035
"Abduljalil 2009, 500 mg po MD",72.3037,2.0219667,µmol/l,1.512337
"Abduljalil 2009, 500 mg po MD",72.3099,2.627863,µmol/l,1.965519
"Abduljalil 2009, 500 mg po MD",72.3872,2.118925,µmol/l,1.584857
"Abduljalil 2009, 500 mg po MD",72.461,1.27069592,µmol/l,0.950421
"Abduljalil 2009, 500 mg po MD",72.4647,1.63422692,µmol/l,1.222326
"Abduljalil 2009, 500 mg po MD",72.4664,1.79176414,µmol/l,1.340156
"Abduljalil 2009, 500 mg po MD",72.5453,1.44035029,µmol/l,1.077315
"Abduljalil 2009, 500 mg po MD",72.622,0.8829521,µmol/l,0.660407
"Abduljalil 2009, 500 mg po MD",72.6244,1.113188,µmol/l,0.832613
"Abduljalil 2009, 500 mg po MD",72.7078,1.19802523,µmol/l,0.896067
"Abduljalil 2009, 500 mg po MD",72.711,1.51308239,µmol/l,1.131715
"Abduljalil 2009, 500 mg po MD",72.7261,2.97933,µmol/l,2.2284
"Abduljalil 2009, 500 mg po MD",72.7881,0.9799171,µmol/l,0.732932
"Abduljalil 2009, 500 mg po MD",72.7959,1.74333847,µmol/l,1.303936
"Abduljalil 2009, 500 mg po MD",72.9546,1.12535465,µmol/l,0.841713
"Abduljalil 2009, 500 mg po MD",72.9622,1.8645364,µmol/l,1.394586
"Abduljalil 2009, 500 mg po MD",72.9636,1.99783409,µmol/l,1.494287
"Abduljalil 2009, 500 mg po MD",73.1221,1.36773849,µmol/l,1.023005
"Abduljalil 2009, 500 mg po MD",73.125,1.646447,µmol/l,1.231466
"Abduljalil 2009, 500 mg po MD",73.2979,2.4098804,µmol/l,1.802478
"Abduljalil 2009, 500 mg po MD",73.2989,2.50682521,µmol/l,1.874988
"Abduljalil 2009, 500 mg po MD",73.3068,3.28235841,µmol/l,2.455051
"Abduljalil 2009, 500 mg po MD",73.4474,0.9073066,µmol/l,0.678623
"Abduljalil 2009, 500 mg po MD",73.4483,0.9921305,µmol/l,0.742067
"Abduljalil 2009, 500 mg po MD",73.4578,1.91308248,µmol/l,1.430897
